entry,value
player_id,399
web_name,Adrián
team,West Brom
first_name,Adrián
second_name,San Miguel del Castillo
cost_end,4.2
value_form,0.0
value_season,0.0
cost_change_start,-3
cost_start,7.2
dreamteam_count,0
selected_by_percent,0.3
total_points,0
ppg,0.0
minutes,0
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,0
influence,0.0
creativity,0.0
threat,0.0
ict_index,0.0
ea_index,0
position,Goalkeeper
